Questions;Answers;Indexes
Umschauen;Verstanden.;0
Ich fühlte mich im virtuellen Raum anwesend.;7;6
Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, andere Personen)?;6;5
Ich achtete noch auf die reale Umgebung.;1;0
Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.;7;6
Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?;6;5
Proband ID;14
Studie;CATA
Studie Variante;Rotwein
Umgebung;Weinkeller
