Questions;Answers;Indexes
Schauen sie sich im virtuellen Raum einmal um, um die folgenden Fragen zu beantworten.;Verstanden.;0
Ich fühlte mich im virtuellen Raum anwesend.;6;5
Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, andere Personen)?;6;5
Ich achtete noch auf die reale Umgebung.;3;2
Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.;6;5
Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?;3;2
Proband ID;9
Studie;CATA
Studie Variante;Rotwein
Umgebung;Sensoriklabor
