Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; 
Sensoriklabor Probe 720 Geruch;Buttrig/Laktisch;Dumpf;Honigmelone;Birne
Sensoriklabor Probe 720 Geschmack;Alkoholisch;Leichte Süße;Schmelz/Cremig; 
Sensoriklabor Probe 597 Farbe;Hellgelb; ; ; 
Sensoriklabor Probe 597 Geruch;Blumig;Honigmelone;Rose; 
Sensoriklabor Probe 597 Geschmack;Süß;Dezente Säure; ; 
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; 
Sensoriklabor Probe 131 Geruch;Vegetativ;Zitrus; ; 
Sensoriklabor Probe 131 Geschmack;Sauer;Alkoholisch;Bitter;Leichte Süße
Proband ID;2; ; ;

Studie;CATA; ; ;

Studie Variante;Weißwein; ; ;

Umgebung;Sensoriklabor; ; ;

