Questions;Answers;Indexes
Schauen sie sich im virtuellen Raum einmal um, um die folgenden Fragen zu beantworten.;Verstanden.
Ich fühlte mich im virtuellen Raum anwesend.;7
Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, andere Personen)?;6
Ich achtete noch auf die reale Umgebung.;2
Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.;6
Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?;7
Proband ID;15

Studie;CATA

Studie Variante;Rotwein

Umgebung;Sensoriklabor

